County	State	% Democrat	% Republican	% Other	% Voted of Population	Total Votes
Cullman	Alabama	0.10699863802537574	0.8812214761893383	0.011779885785285896	0.47630482780597727	41851
Campbell	Wyoming	0.09804915125411705	0.8601469470483912	0.01981251583481125	0.4196614638710501	19735
Brown	Texas	0.13194313983342726	0.8577869622393387	3.7572797294758596e-4	0.4191888699304371	15969
Dekalb	Alabama	0.14583049461779535	0.8436776127537812	0.010491892628423491	0.40995419506200426	29356
Marshall	Alabama	0.1498676081200353	0.8369940738872778	0.013138317992686924	0.4062512805802565	39655
Wise	Texas	0.15365363818940214	0.8352232349760543	9.269272362119573e-5	0.4715730271593426	32365
Walker	Alabama	0.15508501764517163	0.8341995508501765	0.010715431504651908	0.47702855743625844	31170
Holmes	Ohio	0.15401251255117016	0.8338611261296053	0.002471615045956592	0.29276620762951405	12947
Claiborne	Tennessee	0.17010428736964078	0.8191579760525299	0.010737736577829277	0.4039883906001311	12945
Cocke	Tennessee	0.170469075980887	0.8184938421158894	0.011037081903223635	0.4127614655962666	14859
